Symbol,Name,Currency,Last Price,ADT (Value),Turnover Rate %,Market Cap,Exchange,Board
IN00331.US,Real Estate Services,USD,1219.805,1555636822.6446664,0.0,0.0,,SecurityBoard.USSector
BMNR.US,"Bitmine Immersion Technologies, Inc.",USD,30.36,1551590338.2,12.538057282247214,11660298408.0,AMEX,SecurityBoard.Unknown
PG.US,The Procter & Gamble Company,USD,138.04,1527389361.5060334,0.454836804330916,322562699103.95996,NYSE,SecurityBoard.Unknown
C.US,Citigroup Inc.,USD,121.37,1510525666.7696,0.7485530384973876,217163233717.83002,NYSE,SecurityBoard.Unknown
CAT.US,Caterpillar Inc.,USD,596.52,1506974415.7314,0.5475011421936724,279159188605.92,NYSE,SecurityBoard.Unknown
WBD.US,"Warner Bros. Discovery, Inc.",USD,28.59,1506961879.6,2.2236337800683796,70888524409.92,NASD,SecurityBoard.Unknown
IN00283.US,Tobacco,USD,2045.0,1504494656.7483332,0.0,0.0,,SecurityBoard.USSector
ASML.US,ASML Holding N.V.,USD,1228.47,1503694667.3360667,0.3516703300065022,475752946593.21,NASD,SecurityBoard.Unknown
CVX.US,Chevron Corporation,USD,155.2,1492363869.4542,0.4861145607402525,312498551854.39996,NYSE,SecurityBoard.Unknown
IN00314.US,Industrial Gases,USD,1285.053,1491982833.9833333,0.0,0.0,,SecurityBoard.USSector
IN00352.US,Environmental and Facilities Services,USD,1532.793,1488828427.9076667,0.0,0.0,,SecurityBoard.USSector
IN00326.US,Health Care Distributors,USD,3335.528,1483688641.687,0.0,0.0,,SecurityBoard.USSector
MRK.US,"Merck & Co., Inc.",USD,108.6,1483314341.4512,0.5841428400847257,269547647409.59998,NYSE,SecurityBoard.Unknown
CSCO.US,"Cisco Systems, Inc.",USD,74.72,1458545546.7714665,0.4765562850100448,295225785747.36,NASD,SecurityBoard.Unknown
IN00264.US,Air Freight and Logistics,USD,1165.772,1456281000.7106667,0.0,0.0,,SecurityBoard.USSector
IN00269.US,Steel,USD,2228.435,1452932098.8956668,0.0,0.0,,SecurityBoard.USSector
NOW.US,"ServiceNow, Inc.",USD,150.9,1440036887.4171999,0.4775541316524092,156693155875.5,NYSE,SecurityBoard.Unknown
IN00341.US,Containers and Packaging,USD,824.782,1434515991.2176666,0.0,0.0,,SecurityBoard.USSector
ADBE.US,Adobe Inc.,USD,338.1,1434474213.3629,1.0020584249084248,141528660000.0,NASD,SecurityBoard.Unknown
SOFI.US,"SoFi Technologies, Inc.",USD,27.0,1433991515.4,4.132828474625493,34032109446.0,NASD,SecurityBoard.Unknown
GE.US,GE Aerospace,USD,323.64,1421650126.0666666,0.447917594822088,341379974156.04,NYSE,SecurityBoard.Unknown
XLE.US,The Energy Select Sector SPDR® ETF,USD,45.13,1419839222.2333333,8.662974880342517,14393049146.0,AMEX,SecurityBoard.Unknown
IREN.US,IREN Limited,USD,43.625,1408721782.9666667,10.061258985064832,14349306838.875,NASD,SecurityBoard.Unknown
IN00335.US,Cargo Ground Transportation,USD,1505.518,1402324518.1646667,0.0,0.0,,SecurityBoard.USSector
IN00340.US,Personal Care Products,USD,890.443,1397908223.47,0.0,0.0,,SecurityBoard.USSector
WDC.US,Western Digital Corporation,USD,199.88,1396115291.0666666,2.3012664754136565,68338828286.28,NASD,SecurityBoard.Unknown
IN00281.US,Life and Health Insurance,USD,2470.533,1388963060.3743334,0.0,0.0,,SecurityBoard.USSector
XLI.US,The Industrial Select Sector SPDR® ETF,USD,158.97,1382428914.7333333,5.837537520966634,24199367220.0,AMEX,SecurityBoard.Unknown
CRH.US,CRH plc,USD,122.88,1373546385.3333333,1.6460037699451948,82362848256.0,NYSE,SecurityBoard.Unknown
LITE.US,Lumentum Holdings Inc.,USD,392.88,1365397751.8666666,5.6766188721448,27860138359.2,NASD,SecurityBoard.Unknown
EEM.US,iShares MSCI Emerging Markets ETF,USD,56.85,1359766968.6333334,6.553276055226824,21617212500.0,AMEX,SecurityBoard.Unknown
QCOM.US,QUALCOMM Incorporated,USD,180.19,1355456439.4646668,0.7317143813692129,191546191491.32,NASD,SecurityBoard.Unknown
VTI.US,Vanguard Total Stock Market ETF,USD,340.05,1338127459.0333333,0.04795778897233212,2818806930079.5,AMEX,SecurityBoard.Unknown
NKE.US,"NIKE, Inc.",USD,63.22,1324889988.1666667,1.4312301555152582,93589838674.44,NYSE,SecurityBoard.Unknown
ABBV.US,AbbVie Inc.,USD,233.42,1285828152.9714665,0.32099627875456144,412542920801.44,NYSE,SecurityBoard.Unknown
IN00292.US,Interactive Home Entertainment,USD,2021.805,1262424850.556,0.0,0.0,,SecurityBoard.USSector
IN00274.US,Independent Power and Renewable Electricity Producers,USD,1737.996,1252627013.0153334,0.0,0.0,,SecurityBoard.USSector
SNOW.US,Snowflake Inc.,USD,233.5,1250805553.575667,1.5736457432300799,79903700000.0,NYSE,SecurityBoard.Unknown
IN00285.US,Health Care Facilities,USD,2810.337,1231124514.3673332,0.0,0.0,,SecurityBoard.USSector
LIN.US,Linde plc,USD,434.14,1224173802.7994335,0.633900099810344,202721208470.19998,NASD,SecurityBoard.Unknown
BKNG.US,Booking Holdings Inc.,USD,5445.72,1214919136.4760666,0.7228443173729203,175536331021.80002,NASD,SecurityBoard.Unknown
INTU.US,Intuit Inc.,USD,651.15,1200454606.9066331,0.6573671850384636,181198165238.55,NASD,SecurityBoard.Unknown
TXN.US,Texas Instruments Incorporated,USD,185.71,1199314549.0355334,0.7459996592793052,168740381044.2,NASD,SecurityBoard.Unknown
